product_id,product_name,category_id,category_name,brand,price,description
1,"iPhone 14 Pro",1,"Electronics","Apple",999,"The latest iPhone model with improved camera, A15 chip, and 5G connectivity."
2,"Samsung Galaxy S22",1,"Electronics","Samsung",899,"The Galaxy S22 offers a powerful processor, stunning display, and advanced camera features."
3,"Sony WH-1000XM4 Headphones",1,"Electronics","Sony",349,"Wireless noise-canceling headphones with industry-leading sound quality."
4,"Apple MacBook Air M2",1,"Electronics","Apple",1249,"The new MacBook Air with M2 chip offers blazing-fast performance and all-day battery life."
5,"Dell XPS 13 Laptop",1,"Electronics","Dell",1099,"Dell’s latest XPS 13 laptop, featuring a stunning display and Intel’s latest processors."
6,"Bose SoundLink Speaker",1,"Electronics","Bose",199,"Portable Bluetooth speaker with deep bass and wireless connectivity."
7,"Canon EOS R5 Camera",1,"Electronics","Canon",3899,"Mirrorless camera with 45MP sensor, 8K video recording, and advanced autofocus."
8,"GoPro Hero10",1,"Electronics","GoPro",499,"The latest GoPro action camera with 5K video and waterproof design."
9,"Samsung QLED TV",1,"Electronics","Samsung",1499,"Smart TV with QLED display, 4K resolution, and built-in smart features."
10,"Apple iPad Pro 12.9",1,"Electronics","Apple",1099,"High-performance tablet with Liquid Retina display and Apple M1 chip."
11,"Levi’s 501 Jeans",2,"Clothing","Levi’s",89,"Iconic Levi’s jeans, offering classic style and a comfortable fit."
12,"Nike Air Max 270",2,"Clothing","Nike",150,"Nike’s Air Max 270 sneakers with a breathable upper and cushioned sole."
13,"Adidas Ultraboost Shoes",2,"Clothing","Adidas",180,"Adidas Ultraboost running shoes designed for superior comfort and energy return."
14,"Uniqlo Heattech T-Shirt",2,"Clothing","Uniqlo",25,"Uniqlo’s Heattech T-shirt, perfect for layering in cold weather."
15,"Zara Blazer",2,"Clothing","Zara",120,"A stylish Zara blazer, tailored for a modern fit and versatile wear."
16,"H&M Hoodie",2,"Clothing","H&M",35,"H&M’s cozy hoodie made of soft cotton blend for everyday comfort."
17,"Patagonia Down Jacket",2,"Clothing","Patagonia",250,"Patagonia’s down jacket provides warmth and lightweight wear for cold conditions."
18,"The North Face Rain Jacket",2,"Clothing","The North Face",199,"The North Face rain jacket, waterproof and breathable, ideal for outdoor activities."
19,"Under Armour Sports Tights",2,"Clothing","Under Armour",80,"Under Armour sports tights with a flexible, moisture-wicking fabric."
190,"Under Armour Sports Adidas Tights ABC",2,"Clothing","Under Armour",80,"Under Armour sports tights with a flexible, moisture-wicking fabric."
20,"Puma Sweatpants",2,"Clothing","Puma",65,"Puma sweatpants designed for comfort and casual style."
21,"Dyson V15 Vacuum Cleaner",3,"Home Appliances","Dyson",699,"Dyson V15, the most powerful and intelligent cordless vacuum with laser detection."
22,"Philips Air Fryer XXL",3,"Home Appliances","Philips",199,"Philips Air Fryer XXL with fat removal technology for healthier frying."
23,"Instant Pot Duo 7-in-1",3,"Home Appliances","Instant Pot",129,"The Instant Pot Duo, a 7-in-1 multi-cooker for pressure cooking, steaming, and more."
24,"Nespresso Vertuo Coffee Machine",3,"Home Appliances","Nespresso",249,"Nespresso Vertuo, a smart coffee machine for brewing coffee, espresso, and lattes."
